signalECL,siECL
signalPanel,sigPl
signalStrength,sigSh
significantDigits,sigDs
silentTime,silTe
singleCountAlarm,siCAm
sinr,sinr
size,size
slcAlarm,slcAm
slcParameterSetting,slPSg
slcReportInfo,slRIo
sleepDuration,sleDn
sleepInterval,sleIl
sleepTimer,sleTr
smokeSensor,smoSr
smokeThreshold,smoTd
so2,so2
softLeanMass,soLMs
softwares,softs
soilLevel,soiLl
somatotype,somae
speed,speed
speedFactor,speFr
speedWash,speWh
sphygmomanometer,sphyr
spinLevel,spiLl
spinLevelStrength,spLSh
spinSpeed,spiSd
standardreferenceVoltage,staVe
start,start
start3Dprint,staDt
startPause,staPe
state,state
status,sus
steamClosetJobMode,sCJMe
steamClosetOperationMode,sCOMe
steamTreat,steTt
step,step
stepsPerPeriod,stPPd
stepValue,steVe
stop3Dprint,stoDt
storageAvailable,stoAe
storageFault,stoFt
storageTotal,stoTl
strength,streh
subDeviceCuff,suDCf
subDevicePowerOutlet,sDPOt
subModel,subMl
sulfide,sulfe
supportedHorizontalDirection,suHDn
supportedMediaSources,suMSs
supportedMessageValues,suMVs
supportedPlayerModes,suPMs
supportedVerticalDirection,suVDn
supportURL,suURL
surplusCredit,surCt
surplusGas,surGs
switchStatus,swiSs
swVersion,sweVn
systemTime,sysTe
systolicPressure,sysPe
tamperAlarm,tamAm
targetAltitude,tarAe
targetDuration,tarDn
targetLatitude,tarLe
targetLongitude,tarL0
targetTemperature,tarTe
targetTimeToStart,tTTSt
targetTimeToStop,tTTSp
telegramMessage,telMe
televisionChannel,telCl
temperature,tempe
temperatureAlarm,temAm
temperatureThreshold,temTd
test,test
textMessage,texMe
threeDDisplay,thDDy
threeDDisplayResolutionX,tDDRX
threeDDisplayResolutionY,tDDRY
threeDDisplayType,tDDTe
threeDDisplayViewAngle,tDDVe
threeDGlasses,thDGs
threeDPrinter,thDPr
threeDScanner,thDSr
threeDScannerType,tDSTe
threeDScanResolution,tDSRn
time,time
timePlanStatus,tiPSs
timer,timer
timeRange,timRe
timeRangeCount,tiRCt
timeRangeLightDimmingValue,tRLDV
tn,tn
toggle,togge
token,tk
tone,tone
totalStorage,totSe
totalUseValue,toUVe
touchScreen,touSn
tp,tp
tsp,tsp
turbo,turbo
turboEnabled,turEd
type,type
underCurrentAlarm,unCAm
underCurrentDuration,unCDn
underCurrentThreshold,unCTd
underVoltageAlarm,unVAm
underVoltageDuration,unVDn
underVoltagePercent,unVPt
underVoltageThreshold,unVTd
uninstall,uninl
unit,unit
unmount,unmot
upChannel,uphCl
update,updae
updateFirmware,updFe
updateTime,updTe
upVolume,upoVe
urgency,urgey
urgencyButtonPush,urBPh
uri,ur0
url,url
useBlender,useBr
usedTime,useTe
useGrinder,useGr
UUID,UUID
uvSensor,uveSr
uvStatus,uvtSs
uvValue,uvaVe
valveStatus,valSs
version,versn
verticalAccuracy,verAy
verticalDirection,verDn
vibrationSensorFault,viSFt
visceraFat,visFt
voc,voc
voltage,volte
voltageFrequency,volFy
volumePercentage,volPe
volumeValue,volVe
warningIdentifier,warIr
washTemp,wasTp
water,water
waterFilterInfo,waFIo
waterFilterType,waFTe
waterFlow,watFw
waterFlowStrength,waFSh
waterIntervalPressure,waIPe
waterIntervalTemperature,waITe
waterMeterAlarm,waMAm
waterMeterReportInfo,wMRIo
waterMeterSetting,waMSg
waterPressureInterval,waPIl
waterQualityMonitor,waQMr
waterSensor,watSr
waterStatus,watSs
waterTemperatureInterval,waTIl
waterTemperatureSensorFault,wTSFt
weight,weigt
windDirection,winDn
windSpeed,winSd
withdrawalStatus,witSs
writable,write
writeIO,wriIO
writeSpeed,wriSd
zn,zn
